author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"Gaiman, Neil"                                                                                             , "Neil Gaiman"                                                                                        , "2025-01-11T14:20:34+01:00", "epub"           , ""             , "2009-10-15T00:00:00+02:00"   , "Biquette"                       , ""                                   , "1.0"       , "epub, novel"                                                 , "L'Étrange vie de Nobody Owens"                                                                                                                                                             , "Étrange vie de Nobody Owens, L'"
"Gaiman, Neil"                                                                                             , "Neil Gaiman"                                                                                        , "2025-01-11T14:20:34+01:00", "epub, mobi"     , ""             , "2007-01-01T01:00:00+01:00"   , "J'ai lu"                        , ""                                   , "1.0"       , "epub, novel, science fiction"                                , "Entremonde"                                                                                                                                                                                , "Entremonde"
"Gaiman, Neil"                                                                                             , "Neil Gaiman"                                                                                        , "2019-11-03T10:16:02+01:00", "epub"           , ""             , "2009-03-01T06:00:00+01:00"   , ""                               , ""                                   , "1.0"       , ""                                                            , "Des choses fragiles"                                                                                                                                                                       , "Des choses fragiles"
"Coyle, Daniel"                                                                                            , "Daniel Coyle"                                                                                       , "2019-11-13T13:26:13+01:00", "epub, mobi"     , ""             , "2018-01-30T01:00:00+01:00"   , "Bantam"                         , ""                                   , "1.0"       , "epub, management"                                            , "The Culture Code"                                                                                                                                                                          , "Culture Code, The"
"Horowitz, Ben"                                                                                            , "Ben Horowitz"                                                                                       , "2025-01-11T14:20:34+01:00", "epub, mobi"     , ""             , "2014-03-04T01:00:00+01:00"   , "HarperCollins"                  , ""                                   , "1.0"       , "epub, business"                                              , "The Hard Thing About Hard Things"                                                                                                                                                          , "Hard Thing About Hard Things, The"
"Doerr, John"                                                                                              , "John Doerr"                                                                                         , "2025-01-11T14:20:34+01:00", "epub, mobi"     , ""             , "2018-04-24T02:00:00+02:00"   , "Penguin Publishing Group"       , ""                                   , "1.0"       , "epub, management"                                            , "Measure What Matters"                                                                                                                                                                      , "Measure What Matters"
"Zhuo, Julie"                                                                                              , "Julie Zhuo"                                                                                         , "2025-01-11T14:20:34+01:00", "epub, mobi"     , ""             , "2019-03-19T01:00:00+01:00"   , "Penguin Publishing Group"       , ""                                   , "1.0"       , "epub, management"                                            , "The Making of a Manager"                                                                                                                                                                   , "Making of a Manager, The"
"Biecca & Lovecraft"                                                                                       , "Biecca & Lovecraft"                                                                                 , "2025-01-11T14:20:34+01:00", "cbr"            , ""             , "0101-01-01T00:09:21+00:09:21", "Rackham"                        , ""                                   , "1.0"       , "cbr, graphic novel"                                          , "Les mythes de Cthulhu"                                                                                                                                                                     , "mythes de Cthulhu, Les"
"Iger, Robert"                                                                                             , "Robert Iger"                                                                                        , "2025-01-11T14:20:34+01:00", "epub, mobi"     , ""             , "2019-09-23T02:00:00+02:00"   , "Penguin Random House LLC"       , ""                                   , "1.0"       , "epub, biography"                                             , "The Ride of a Lifetime"                                                                                                                                                                    , "Ride of a Lifetime, The"
"Kleppmann, Martin"                                                                                        , "Martin Kleppmann"                                                                                   , "2025-01-11T14:20:34+01:00", "epub, pdf"      , ""             , "2017-03-17T01:00:00+01:00"   , "O'Reilly Media Inc."            , ""                                   , "1.0"       , "epub, pdf, programming"                                      , "Designing Data-Intensive Applications"                                                                                                                                                     , "Designing Data-Intensive Applications"
"Moriarty, Liane"                                                                                          , "Liane Moriarty"                                                                                     , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-01-29T00:00:00+01:00"   , "Albin Michel"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "Neuf parfaits étrangers"                                                                                                                                                                   , "Neuf parfaits étrangers"
"Isaacson, Walter"                                                                                         , "Walter Isaacson"                                                                                    , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2013-05-05T10:35:30+02:00"   , ""                               , ""                                   , "1.0"       , "epub, biography"                                             , "Steve Jobs"                                                                                                                                                                                , "Steve Jobs"
"Valognes, Aurélie"                                                                                        , "Aurélie Valognes"                                                                                   , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2019-03-13T00:00:00+01:00"   , "Mazarine"                       , ""                                   , "1.0"       , "epub, novel"                                                 , "La cerise sur le gâteau"                                                                                                                                                                   , "cerise sur le gâteau, La"
"Ledig, Agnès"                                                                                             , "Agnès Ledig"                                                                                        , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-02-25T09:00:00+01:00"   , "Flammarion"                     , ""                                   , "1.0"       , "epub, novel"                                                 , "Se le dire enfin"                                                                                                                                                                          , "Se le dire enfin"
"Slimani, Leïla"                                                                                           , "Leïla Slimani"                                                                                      , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-03-04T09:00:00+01:00"   , "Gallimard"                      , ""                                   , "1.0"       , "epub, novel"                                                 , "Le pays des autres"                                                                                                                                                                        , "pays des autres, Le"
"Valognes, Aurélie"                                                                                        , "Aurélie Valognes"                                                                                   , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-03-04T09:00:00+01:00"   , "Fayard/Mazarine"                , ""                                   , "1.0"       , "epub, novel"                                                 , "Né sous une bonne étoile"                                                                                                                                                                  , "Né sous une bonne étoile"
"Higashino, Keigo"                                                                                         , "Keigo Higashino"                                                                                    , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-01-21T09:00:00+01:00"   , "Actes Sud"                      , ""                                   , "1.0"       , "epub, novel"                                                 , "Les miracles du Bazar Namiya"                                                                                                                                                              , "miracles du Bazar Namiya, Les"
"Beigbeder, Frédéric"                                                                                      , "Frédéric Beigbeder"                                                                                 , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-01-02T09:00:00+01:00"   , "Grasset"                        , ""                                   , "1.0"       , "epub, novel"                                                 , "L'homme qui pleure de rire"                                                                                                                                                                , "homme qui pleure de rire, L'"
"Pratchett, Terry & Gaiman, Neil"                                                                          , "terry pratchett & Neil Gaiman"                                                                      , "2020-06-04T20:07:16+02:00", "epub, mobi"     , ""             , "2013-11-05T00:00:00+01:00"   , "Ninjava"                        , ""                                   , "1.0"       , "epub, fantasy"                                               , "de bons présages"                                                                                                                                                                          , "bons présages, de"
"Grangé, Jean-Christophe"                                                                                  , "Jean-Christophe Grangé"                                                                             , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-04-24T11:00:39+02:00"   , "Albin Michel"                   , ""                                   , "1.0"       , "epub, thriller"                                              , "Le jour des cendres"                                                                                                                                                                       , "jour des cendres, Le"
"Lovegrove, James"                                                                                         , "James Lovegrove"                                                                                    , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-02-12T05:00:00+01:00"   , "Bragelonne"                     , "Les Dossiers Cthulhu"               , "3.0"       , "epub, novel, fantasy"                                        , "Sherlock Holmes et les Démons Marins du Sussex"                                                                                                                                            , "Sherlock Holmes et les Démons Marins du Sussex"
"Thomas, Thierry"                                                                                          , "Thierry Thomas"                                                                                     , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-01-30T13:35:49+01:00"   , "Grasset"                        , ""                                   , "1.0"       , "epub, novel"                                                 , "Hugo Pratt, trait pour trait"                                                                                                                                                              , "Hugo Pratt, trait pour trait"
"Asimov, Isaac"                                                                                            , "Isaac Asimov"                                                                                       , "2020-07-13T20:14:22+02:00", "epub, mobi"     , ""             , "1951-01-01T22:00:00+01:00"   , "Folio"                          , "Fondation"                          , "3.0"       , "epub, science fiction"                                       , "Fondation"                                                                                                                                                                                 , "Fondation"
"Gadoullet, Jean-Marc & Pelloli, Mathieu"                                                                  , "Jean-Marc Gadoullet & Mathieu Pelloli"                                                              , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2016-09-15T09:00:00+02:00"   , "Robert Laffont"                 , ""                                   , "1.0"       , "epub, reportage"                                             , "Agent Secret"                                                                                                                                                                              , "Agent Secret"
"Laurent, Éric"                                                                                            , "Éric Laurent"                                                                                       , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2006-04-15T00:00:00+02:00"   , "Plon"                           , ""                                   , "1.0"       , "epub, reportage"                                             , "La face cachée du pétrole"                                                                                                                                                                 , "face cachée du pétrole, La"
"Asimov, Isaac"                                                                                            , "Isaac Asimov"                                                                                       , "2020-07-13T20:14:23+02:00", "epub, mobi"     , ""             , "1988-10-17T22:00:00+01:00"   , "Pocket"                         , "Fondation"                          , "1.0"       , "epub, science fiction"                                       , "Prélude à Fondation"                                                                                                                                                                       , "Prélude à Fondation"
"Notin, Jean-Christophe"                                                                                   , "Jean-Christophe Notin"                                                                              , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2017-06-01T00:00:00+02:00"   , "Tallandier"                     , ""                                   , "1.0"       , "epub, reportage"                                             , "Les guerriers de l'ombre"                                                                                                                                                                  , "guerriers de l'ombre, Les"
"Nouzille, Vincent"                                                                                        , "Vincent Nouzille"                                                                                   , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2015-11-28T00:00:00+01:00"   , "Fayard"                         , ""                                   , "1.0"       , "epub, reportage"                                             , "Les tueurs de la République"                                                                                                                                                               , "tueurs de la République, Les"
"Asimov, Isaac"                                                                                            , "Isaac Asimov"                                                                                       , "2020-07-13T20:14:23+02:00", "epub, mobi"     , ""             , "1993-01-04T00:00:00+01:00"   , "Pocket"                         , "Fondation"                          , "2.0"       , "epub, science fiction"                                       , "L'aube de Fondation"                                                                                                                                                                       , "aube de Fondation, L'"
"Guisnel, Jean"                                                                                            , "Jean Guisnel"                                                                                       , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2019-11-07T00:00:00+01:00"   , "Groupe Robert Laffont"          , ""                                   , "1.0"       , "epub, reportage"                                             , "Histoire secrète de la DGSE"                                                                                                                                                               , "Histoire secrète de la DGSE"
"Martin-Lugand, Agnès"                                                                                     , "Agnès Martin-Lugand"                                                                                , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2020-05-20T00:00:00+02:00"   , "Michel Lafon"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "Nos résiliences"                                                                                                                                                                           , "Nos résiliences"
"Randolph, Marc"                                                                                           , "Marc Randolph"                                                                                      , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2019-09-17T06:00:00+02:00"   , "Octopus"                        , ""                                   , "1.0"       , "epub, biography"                                             , "That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea"                                                                                                                , "That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea"
"McCord, Patty"                                                                                            , "Patty McCord"                                                                                       , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2017-10-15T00:00:00+02:00"   , "Missionday, LLC"                , ""                                   , "1.0"       , "epub, business"                                              , "Powerful"                                                                                                                                                                                  , "Powerful"
"Levy, Steven"                                                                                             , "Steven Levy"                                                                                        , "2025-01-11T14:20:35+01:00", "epub, mobi"     , ""             , "2011-04-12T00:00:00+02:00"   , "Simon & Schuster"               , ""                                   , "1.0"       , "epub, business"                                              , "In The Plex"                                                                                                                                                                               , "In The Plex"
"Allen, Matthew"                                                                                           , "Matthew Allen"                                                                                      , "2025-01-11T14:20:36+01:00", "pdf"            , ""             , "2006-09-22T01:27:46+02:00"   , ""                               , ""                                   , "1.0"       , "pdf, business"                                               , "Smart Thinking: Skills for Critical Understanding and Writing, 2nd edition"                                                                                                                , "Smart Thinking: Skills for Critical Understanding and Writing, 2nd edition"
"Caruso, David R. & Salovey, Peter"                                                                        , "David R. Caruso & Peter Salovey"                                                                    , "2025-01-11T14:20:36+01:00", "pdf"            , ""             , "2004-04-05T00:00:00+02:00"   , "Jossey-Bass"                    , ""                                   , "1.0"       , "pdf, business"                                               , "The Emotionally Intelligent Manager"                                                                                                                                                       , "Emotionally Intelligent Manager, The"
"Flea"                                                                                                     , "Flea"                                                                                               , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2018-11-27T01:00:00+01:00"   , "Hachette Book Group"            , ""                                   , "1.0"       , "epub, biography"                                             , "Acid for the Children"                                                                                                                                                                     , "Acid for the Children"
"cixin, liu"                                                                                               , "Liu Cixin"                                                                                          , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2017-09-07T12:25:57+02:00"   , "Éditions Actes Sud"             , "Le problème à trois corps"          , "2.0"       , "epub, novel, science fiction"                                , "Le problème à trois corps, tome 2 : La forêt sombre"                                                                                                                                       , "problème à trois corps, tome 2 : La forêt sombre, Le"
"Hafner, Katie & Lyon, Matthew"                                                                            , "Katie Hafner & Matthew Lyon"                                                                        , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "1999-08-19T05:00:00+02:00"   , "Simon & Schuster"               , ""                                   , "1.0"       , "epub, business"                                              , "Where Wizards Stay Up Late: The Origins of the Internet"                                                                                                                                   , "Where Wizards Stay Up Late: The Origins of the Internet"
"Fournier, Camille"                                                                                        , "Camille Fournier"                                                                                   , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2017-03-13T00:00:00+01:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "epub, business"                                              , "The Manager's Path"                                                                                                                                                                        , "Manager's Path, The"
"Pasquale, Frank"                                                                                          , "Frank Pasquale"                                                                                     , "2025-01-11T14:20:36+01:00", "mobi, pdf"      , ""             , "2015-01-20T21:07:02+01:00"   , "Harvard University Press"       , ""                                   , "1.0"       , "pdf, business"                                               , "The Black Box Society"                                                                                                                                                                     , "Black Box Society, The"
"Zuboff, Shoshana"                                                                                         , "Shoshana Zuboff"                                                                                    , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2019-01-15T01:00:00+01:00"   , "PublicAffairs"                  , ""                                   , "1.0"       , "epub, business"                                              , "The Age of Surveillance Capitalism"                                                                                                                                                        , "Age of Surveillance Capitalism, The"
"Harari, Yuval Noah"                                                                                       , "Yuval Noah Harari"                                                                                  , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2016-09-05T18:00:00+02:00"   , "HarperCollins"                  , ""                                   , "1.0"       , "epub, business"                                              , "Homo Deus: A Brief History of Tomorrow"                                                                                                                                                    , "Homo Deus: A Brief History of Tomorrow"
"Harari, Yuval Noah"                                                                                       , "Yuval Noah Harari"                                                                                  , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2014-10-28T08:00:00+01:00"   , "Signal"                         , ""                                   , "1.0"       , "epub, business"                                              , "Sapiens: A Brief History of Humankind"                                                                                                                                                     , "Sapiens: A Brief History of Humankind"
"neubauer, andré & freudenberger, jürgen & kühn, volker"                                                   , "andré neubauer & jürgen freudenberger & volker kühn"                                                , "2020-10-13T13:21:32+02:00", "pdf"            , ""             , "2007-09-27T16:21:16+02:00"   , ""                               , ""                                   , "1.0"       , "pdf, coding"                                                 , "coding theory: algorithms, architectures and applications"                                                                                                                                 , "coding theory: algorithms, architectures and applications"
"Mitnick, Kevin"                                                                                           , "Kevin Mitnick"                                                                                      , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2011-08-15T06:00:00+02:00"   , "Little, Brown and Company"      , ""                                   , "1.0"       , "epub, business"                                              , "Ghost in the Wires"                                                                                                                                                                        , "Ghost in the Wires"
"Isaacson, Walter"                                                                                         , "Walter Isaacson"                                                                                    , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2014-10-07T00:00:00+02:00"   , "Simon & Schuster"               , ""                                   , "1.0"       , "epub, business"                                              , "The Innovators"                                                                                                                                                                            , "Innovators, The"
"Mitnick, Kevin"                                                                                           , "Kevin Mitnick"                                                                                      , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2017-02-13T23:00:00+01:00"   , "Little, Brown and Company"      , ""                                   , "1.0"       , "epub, business"                                              , "The Art of Invisibility"                                                                                                                                                                   , "Art of Invisibility, The"
"Schmidt, Eric"                                                                                            , "Eric Schmidt"                                                                                       , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2019-03-04T01:00:00+01:00"   , "HarperCollins"                  , ""                                   , "1.0"       , "epub, business"                                              , "Trillion Dollar Coach"                                                                                                                                                                     , "Trillion Dollar Coach"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2013-03-27T05:00:00+01:00"   , ""                               , "The Origin Mystery"                 , "1.0"       , "epub, thriller"                                              , "The Atlantis Gene"                                                                                                                                                                         , "Atlantis Gene, The"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2013-11-17T09:00:00+01:00"   , ""                               , "The Origin Mystery"                 , "2.0"       , "epub, thriller"                                              , "The Atlantis Plague"                                                                                                                                                                       , "Atlantis Plague, The"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:36+01:00", "epub, mobi"     , ""             , "2014-05-15T02:00:00+02:00"   , ""                               , "The Origin Mystery"                 , "3.0"       , "epub, thriller"                                              , "The Atlantis World"                                                                                                                                                                        , "Atlantis World, The"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2019-02-25T17:00:00+01:00"   , "Legion Books"                   , "The Long Winter"                    , "1.0"       , "epub, thriller"                                              , "Winter World"                                                                                                                                                                              , "Winter World"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2017-04-05T09:00:00+02:00"   , "Riddle Inc."                    , "The Extinction Files"               , "1.0"       , "epub, thriller"                                              , "Pandemic"                                                                                                                                                                                  , "Pandemic"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2017-10-12T09:00:00+02:00"   , "Riddle Inc."                    , "The Extinction Files"               , "2.0"       , "epub, thriller"                                              , "Genome"                                                                                                                                                                                    , "Genome"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2019-06-24T18:00:00+02:00"   , "Legion Books"                   , "The Long Winter"                    , "2.0"       , "epub, thriller"                                              , "The Solar War"                                                                                                                                                                             , "Solar War, The"
"Riddle, A.G."                                                                                             , "A.G. Riddle"                                                                                        , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2019-11-11T17:00:00+01:00"   , "Legion Books"                   , "The Long Winter"                    , "3.0"       , "epub, thriller"                                              , "The Lost Colony"                                                                                                                                                                           , "Lost Colony, The"
"Rand, Ayn"                                                                                                , "Ayn Rand"                                                                                           , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "1957-10-10T00:00:00+01:00"   , "Random House"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "Atlas Shrugged"                                                                                                                                                                            , "Atlas Shrugged"
"McKeown, Greg"                                                                                            , "Greg McKeown"                                                                                       , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2014-04-14T18:00:00+02:00"   , "Crown Business"                 , ""                                   , "1.0"       , "epub, business, time management"                             , "Essentialism: The Disciplined Pursuit of Less"                                                                                                                                             , "Essentialism: The Disciplined Pursuit of Less"
"Segall, Ken"                                                                                              , "Ken Segall"                                                                                         , "2020-11-15T10:12:24+01:00", "epub, mobi"     , ""             , "2013-04-30T00:00:00+02:00"   , "Penguin Random House"           , ""                                   , "1.0"       , "epub, problem solving"                                       , "Insanely Simple: The Obsession That Drives Apple's Success"                                                                                                                                , "Insanely Simple: The Obsession That Drives Apple's Success"
"Atkinson, William Walker"                                                                                 , "William Walker Atkinson"                                                                            , "2020-11-15T10:16:21+01:00", "epub, mobi"     , ""             , "1909-01-12T23:09:21+00:09:21", "The Progress Comapny"           , ""                                   , "1.0"       , "epub, problem solving"                                       , "The Art of Logical Thinking"                                                                                                                                                               , "Art of Logical Thinking, The"
"Schultz, Howard & Gordon, Joanne Lesley"                                                                  , "Howard Schultz & Joanne Lesley Gordon"                                                              , "2020-11-15T10:18:49+01:00", "epub, mobi"     , ""             , "2011-03-29T08:00:00+02:00"   , "Rodale Books"                   , ""                                   , "1.0"       , "epub, business"                                              , "Onward: How Starbucks Fought for Its Life Without Losing Its Soul"                                                                                                                         , "Onward: How Starbucks Fought for Its Life Without Losing Its Soul"
"Russell, Stuart J. & Norvig, Peter"                                                                       , "Stuart J. Russell & Peter Norvig"                                                                   , "2025-01-11T14:20:37+01:00", "pdf"            , ""             , "2016-06-07T08:03:46+02:00"   , "Pearson"                        , ""                                   , "1.0"       , "pdf, artificial intelligence"                                , "Artificial Intelligence A Modern Approach, 3rd Edition"                                                                                                                                    , "Artificial Intelligence A Modern Approach, 3rd Edition"
"Ahrens, Sönke"                                                                                            , "Sönke Ahrens"                                                                                       , "2020-11-15T10:23:38+01:00", "epub, mobi, pdf", ""             , "2017-02-20T19:30:00+01:00"   , ""                               , ""                                   , "1.0"       , "epub, pdf, taking notes"                                     , "How to Take Smart Notes"                                                                                                                                                                   , "How to Take Smart Notes"
"Giacometti, Éric & Ravenne, Jacques"                                                                      , "Éric Giacometti & Jacques Ravenne"                                                                  , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "2020-06-03T09:00:00+02:00"   , "JC Lattès"                      , "Le cycle du soleil noir"            , "3.0"       , "epub, novel"                                                 , "La relique du chaos"                                                                                                                                                                       , "relique du chaos, La"
"Christensen, Clayton M."                                                                                  , "Clayton M. Christensen"                                                                             , "2025-01-11T14:20:37+01:00", "epub, mobi"     , ""             , "1997-01-01T00:00:00+01:00"   , "Harvard Business Review Press"  , ""                                   , "1.0"       , "epub, business"                                              , "The Innovator's Dilemma"                                                                                                                                                                   , "Innovator's Dilemma, The"
"Adkins, Heather & Beyer, Betsy & Blankinship, Paul & Lewandowski, Piotr & Oprea, Ana & Stubblefield, Adam", "Heather Adkins & Betsy Beyer & Paul Blankinship & Piotr Lewandowski & Ana Oprea & Adam Stubblefield", "2025-01-11T14:20:37+01:00", "epub"           , ""             , "2020-04-06T02:00:00+02:00"   , "O'Reilly Media, Inc."           , ""                                   , "1.0"       , "epub, programming"                                           , "Building Secure and Reliable Systems"                                                                                                                                                      , "Building Secure and Reliable Systems"
