author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:26+01:00", "epub, mobi"     , ""             , "1993-01-01T00:00:00+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "10.0"      , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 4 - druss la légende"                                                                                                                                                , "le cycle drenaï, tome 4 - druss la légende"
"zenoff, david b."                                                                                         , "david b. zenoff"                                                                                    , "2025-01-11T14:20:26+01:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, pdf"                                                   , "the soul of the organization: how to ignite employee engagement and productivity"                                                                                                          , "soul of the organization: how to ignite employee engagement and productivity, the"
"Swartout, Paul"                                                                                           , "Paul Swartout"                                                                                      , "2025-01-11T14:20:26+01:00", "epub, pdf"      , ""             , "2012-10-05T00:00:00+02:00"   , "Packt Publishing"               , ""                                   , "1.0"       , "epub, pdf, programming"                                      , "Continuous Delivery and Devops"                                                                                                                                                            , "Continuous Delivery and Devops"
"Boswell, Dustin & Foucher, Trevor"                                                                        , "Dustin Boswell & Trevor Foucher"                                                                    , "2013-12-23T13:18:01+01:00", "pdf"            , ""             , "2011-11-04T00:00:00+01:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "pdf, programming"                                            , "The Art of Readable Code"                                                                                                                                                                  , "Art of Readable Code, The"
"janert, philipp k."                                                                                       , "philipp k. janert"                                                                                  , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2010-11-01T00:00:00+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "pdf, oreilly, tech, data analysis"                           , "data analysis with open source tools, 1st edition"                                                                                                                                         , "data analysis with open source tools, 1st edition"
"richardson, leonard"                                                                                      , "leonard richardson"                                                                                 , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2007-05-01T00:00:00+02:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "oreilly, pdf, tech, rest, webservice"                        , "restful web services, 1st edition"                                                                                                                                                         , "restful web services, 1st edition"
"Salatino, Mauricio & Aliverti, Esteban"                                                                   , "Mauricio Salatino & Esteban Aliverti"                                                               , "2013-12-23T13:18:17+01:00", "pdf"            , ""             , "2012-12-07T00:00:00+01:00"   , "Packt Publishing"               , ""                                   , "1.0"       , "pdf, programming"                                            , "jBPM5 Developer Guide, 1st edition"                                                                                                                                                        , "jBPM5 Developer Guide, 1st edition"
"conner, nancy"                                                                                            , "nancy conner"                                                                                       , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2009-08-25T00:00:00+02:00"   , "oreilly"                        , ""                                   , "1.0"       , "pdf"                                                         , "living green the missing manual, 1st edition"                                                                                                                                              , "living green the missing manual, 1st edition"
"molyneaux, ian"                                                                                           , "ian molyneaux"                                                                                      , "2013-12-23T13:18:23+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "pdf"                                                         , "the art of application performance testing"                                                                                                                                                , "art of application performance testing, the"
"Riley, Tim"                                                                                               , "Tim Riley"                                                                                          , "2013-12-23T13:18:25+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Beautiful Testing"                                                                                                                                                                         , "Beautiful Testing"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2012-01-01T00:00:00+01:00"   , "COMEX"                          , "COMEX Magazine"                     , "11.0"      , "comex, pdf, magazine"                                        , "COMEX Magazine 11"                                                                                                                                                                         , "COMEX Magazine 11"
"Mulloy, Brian"                                                                                            , "Brian Mulloy"                                                                                       , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", "apigee"                         , ""                                   , "1.0"       , "pdf, programming"                                            , "Web API Design"                                                                                                                                                                            , "Web API Design"
